Date,Open,High,Low,Close,Adj Close,Volume
2020-08-17,48.320000,48.750000,48.200001,48.209999,46.707195,9102400
2020-08-18,48.200001,48.500000,47.959999,48.419998,46.910648,9829000
2020-08-19,48.119999,48.380001,47.220001,47.369999,45.893383,17371000
2020-08-20,47.270000,47.599998,47.090000,47.349998,45.874001,11308700
2020-08-21,47.340000,47.500000,46.970001,47.279999,45.806187,14734100
2020-08-24,47.430000,47.980000,47.180000,47.970001,46.474682,9257700
2020-08-25,48.000000,48.049999,47.650002,47.910000,46.416546,7827800
2020-08-26,47.759998,48.180000,47.470001,48.160000,46.658756,10124200
2020-08-27,48.250000,48.820000,48.200001,48.230000,46.726570,10931600
2020-08-28,48.750000,49.849998,48.529999,49.830002,48.276699,16420300
2020-08-31,49.799999,50.070000,49.349998,49.529999,47.986050,18510800
2020-09-01,49.310001,49.349998,48.830002,49.119999,47.588829,12588400
2020-09-02,49.360001,51.360001,49.360001,51.189999,49.594303,26332600
2020-09-03,51.400002,52.139999,50.099998,50.480000,48.906433,22289400
2020-09-04,50.939999,51.470001,50.279999,51.040001,49.448982,21019500
2020-09-08,50.930000,51.040001,49.360001,49.810001,48.257320,17776700
2020-09-09,49.599998,50.759998,49.549999,50.189999,48.625477,15252300
2020-09-10,50.349998,50.680000,49.950001,50.000000,48.441399,15439500
2020-09-11,50.400002,51.200001,50.099998,51.060001,49.468357,18272300
2020-09-14,50.970001,51.230000,50.570000,50.709999,49.526958,10911700
2020-09-15,51.000000,51.380001,50.840000,51.049999,49.859024,12838400
